192.168.210.69,0.0, 1.26,22%,0k,,,170,16050 MB,5.6500%
192.168.210.70,0.0, 0.85,64%,0k,,,179,16050 MB,12.1100%
192.168.210.71,7.8, 0.58,44%,0k,,,356,16050 MB,8.1400%
192.168.210.72,0.0, 0.15,50%,0k,,,183,16050 MB,55.6200%
192.168.210.74,2.0, 0.26,11%,0k,,,214,16050 MB,52.2800%
192.168.210.75,0.0, 0.33,13%,0k,,,182,16050 MB,49.6500%
192.168.210.76,2.0, 0.31,35%,0k,,,173,16050 MB,7.2300%
192.168.210.77,3.9, 0.03,48%,0k,,,184,16050 MB,63.6100%
192.168.210.78,2.0, 1.30,54%,0k,,,241,16050 MB,58.0300%
192.168.210.147,7.9, 0.29,69%,0k,,,193,32186 MB,44.3800%
192.168.210.148,2.0, 0.27,53%,0k,,,189,32186 MB,42.1700%
192.168.210.149,9.9, 0.54,66%,0k,,,204,32186 MB,41.1800%
192.168.210.150,0.0, 0.00,69%,0k,,,236,32186 MB,42.4000%
192.168.210.151,2.0, 0.19,52%,0k,,,184,32185 MB,38.6800%
192.168.210.152,2.0, 0.18,77%,0k,,,189,32186 MB,30.1100%
192.168.210.153,2.0, 0.11,81%,0k,,,195,32186 MB,13.6700%
192.168.210.154,0.0, 0.15,61%,0k,,,194,32186 MB,7.9900%
192.168.210.155,1.9, 12.4,79%,0k,,,178,7982 MB,24.6300%
192.168.210.156,2.0, 0.01,13%,0k,,,177,7982 MB,49.6400%
192.168.210.157,2.0, 8.50,60%,0k,,,184,7982 MB,55.5600%
192.168.210.158,1.9, 25.7,79%,0k,,,178,7982 MB,26.8400%
192.168.210.159,5.9, 7.55,20%,0k,,,179,7982 MB,50.1000%
192.168.210.160,1.9, 9.77,46%,0k,,,217,7982 MB,65.4200%
192.168.210.161,2.0, 1.11,28%,0k,,,183,7982 MB,65.8800%
192.168.210.162,2.0, 0.06,23%,0k,,,186,7982 MB,53.1500%
192.168.210.163,2.0, 0.47,57%,0k,,,209,32186 MB,38.9600%
192.168.210.164,7.9, 0.39,81%,0k,,,201,32186 MB,32.2500%
192.168.210.165,2.0, 2.93,13%,0k,,,189,32186 MB,58.3400%
192.168.210.166,0.0, 0.10,19%,0k,,,184,32186 MB,43.8200%
192.168.210.167,5.9, 0.31,63%,0k,,,211,32186 MB,70.6700%
192.168.210.168,0.0, 0.71,55%,0k,,,198,32186 MB,60.5500%
192.168.210.169,0.0, 0.56,61%,0k,,,198,32186 MB,52.3600%
192.168.210.170,9.9, 0.54,67%,0k,,,205,32186 MB,54.8000%
192.168.210.179,2.0, 1.95,13%,0k,,,179,16050 MB,5.9500%
192.168.210.180,0.0, 0.05,13%,0k,,,179,16050 MB,3.2400%
192.168.210.181,0.0, 0.37,13%,0k,,,181,16050 MB,52.2900%
192.168.210.182,2.0, 0.07,13%,0k,,,180,16050 MB,56.6900%
192.168.210.183,4.0, 0.04,14%,0k,,,180,16050 MB,4.9400%
192.168.210.184,2.0, 0.24,79%,0k,,,189,16050 MB,41.3900%
192.168.210.185,3.9, 0.29,59%,0k,,,187,16050 MB,59.2200%
192.168.210.186,5.9, 0.35,66%,0k,,,188,16050 MB,57.2700%
192.168.210.187,2.0, 0.03,46%,0k,,,183,16050 MB,56.2200%
192.168.210.188,2.0, 0.12,70%,0k,,,185,16050 MB,47.6300%
192.168.210.189,3.9, 0.07,15%,0k,,,184,16050 MB,46.0300%
192.168.210.190,3.9, 0.32,12%,0k,,,186,16050 MB,65.7800%
192.168.210.191,5.9, 0.05,13%,0k,,,179,16050 MB,74.8500%
192.168.210.192,2.0, 0.11,27%,0k,,,180,32186 MB,67.7200%
192.168.210.193,3.9, 0.04,40%,0k,,,294,32186 MB,48.4000%
192.168.210.194,0.0, 0.06,13%,0k,,,209,32186 MB,23.1700%
192.168.210.195,0.0, 0.00,10%,0k,,,237,32109 MB,1.4200%
192.168.210.196,2.0, 0.41,13%,0k,,,179,32186 MB,55.5600%
192.168.210.197,0.0, 0.55,81%,0k,,,212,32186 MB,37.5300%
